"cond","density_in"
"Interphase",0.310821856508709
"Interphase",0.192095641913514
"Interphase",0.158035885361805
"Interphase",0.154762895807277
"Interphase",0.107945504638216
"Interphase",0.349038022492129
"Interphase",0.256820170139955
"Metaphase",0.159652333622565
"Metaphase",0.174175720653238
"Metaphase",0.167788571665349
"Metaphase",0.197139293694212
"Metaphase",0.200980476714462
"Metaphase",0.205515338837369
"Metaphase",0.151848197702987
"Metaphase",0.0652656876080997
"Metaphase",0.162482744353043
