"cond","medianArea"
"CMV",0.872721716640875
"CMV",0.726175460194304
"CMV",0.803412119557912
"CMV",0.754499160584208
"CMV",0.780766000610959
"CMV",0.78145162073201
"CMV",0.883391259405724
"CMV",0.744643651590104
"CMV",0.839470261753919
"CMV",1.01564725200765
"CMV",1.37468546820334
"CMV",0.686625010568195
"CMV",1.0149616318866
"CMV",0.768725217604007
"CMV",0.915957094171628
"CMV",1.00517032971734
"CMV",0.880520365271825
"CMV",0.683754116434296
"CMV",0.740401517214104
"CMV",0.811146561364015
"PGK",0.923070122681528
"PGK",0.658301310178292
"PGK",0.973290115072487
"PGK",0.971104841059639
"PGK",0.765854323470109
"PGK",0.961249332065536
"PGK",0.79280678361791
"PGK",0.743272411348003
"PGK",0.786443582053909
"PGK",0.830300372880867
"PGK",0.705714615260199
"PGK",0.740401517214104
"PGK",0.571958968766479
"PGK",0.723432979710101
"PGK",0.869165202385925
"PGK",0.624300028345438
"PGK",0.569837901578479
"crCMV",0.673898607440193
"crCMV",0.654059175802291
"crCMV",0.698665793575147
"crCMV",0.573330209008581
"crCMV",0.658301310178292
"crCMV",0.658301310178292
"crCMV",0.669656473064192
"crCMV",0.560603805880579
"crCMV",0.661857824433242
"crCMV",0.682382876192195
"crCMV",0.829614752759816
"crCMV",0.754499160584208
"crCMV",0.654059175802291
"crCMV",0.780080380489908
"crCMV",0.810460941242964
"crCMV",0.629977609788388
"crCMV",0.597411775022484
"crCMV",0.641332772674289
"crCMV",0.571958968766479
"crCMV",0.584685371894481
"crCMV",0.690867144944196
"LBR",1.08589929651105
"LBR",0.639211705486288
"LBR",0.544706577840318
"LBR",0.70950685346866
"LBR",0.471990431891586
"LBR",0.629227782842489
"LBR",0.614530277915666
"LBR",0.586356542914942
"LBR",0.440795837367783
"LBR",0.488958969395589
"LBR",0.555761809947859
"LBR",0.609538316593767
"LBR",0.545006508618677
"LBR",0.479724873697689
"LBR",0.571059176431401
"LBR",0.536522239866676
"Pool5",0.458814132596045
"Pool5",0.512290708463593
"Pool5",0.540464443464317
"Pool5",0.484716835019588
"Pool5",0.575601241585761
"Pool5",0.362937764707972
"Pool5",0.42836936501814
